instanceID	siteLabel	date	gpsLocation:Latitude	gpsLocation:Longitude	gpsLocation:Altitude	gpsLocation:Accuracy	sitePic	aspect	slope	SiteNotes	weather	startTime	device	daubPlots__daub_Xcoord	daubPlots__daub_Ycoord	daubPlots__denso	daubPlots__daubplotbare	daubPlots__daubplotltter	daubPlots__daubplotgraminoid	daubPlots__daubplotforb	daubPlots__daubplotshrub	daubPlots__daubplottree	daubPlots__depthOhorizon	daubPlots__depthMhorizon1	daubPlots__depthOhorizon2	daubPlots__depthMhorizon2	daubPlots__tempOhorizon	daubPlots__tempMineral	daubPlots__VegCompositionBlock__speciesCode	daubPlots__VegCompositionBlock__coverClass	densit__denso	vegRich_tree	vegRich_shrub	vegRich_forb	vegRich_graminoid	deadDown	plantMeasurements__plantStartTime	plantMeasurements__taxon	label	plantMeasurements__indiv	plantMeasurements__xcoord	plantMeasurements__ycoord	plantMeasurements__phenology	plantMeasurements__asochost	circumferenceTree	plantMeasurements__width	plantMeasurements__width2	plantMeasurements__height	plantMeasurements__height_sample	endTime
uuid:5dd4f563-fd9d-422c-be53-453d885526ee	2_1	2018-06-28T23:41:00.000Z	43.75210779	-110.9112128	2163.189674	8	null	West tosouthwest	10	Off trail a few hundred feet	partlycloudy	2018-06-28T23:41:15.315Z	C8:14:79:50:D6:8E	1	46	4	0	6	0	0	5	4	7	13	2	10	48.4	47.8	Sorbus sitchensis	5	2	2	7	null	null	30	2018-06-29T00:06:52.166Z	Osmorhiza berteroi 2_1_1	2_1_1_1	1	4	16	flowering	null	NA	22.86	16.51	40.64	35.56	2018-06-29T23:29:36.340Z
																													Pinus contorta	6	1						2018-06-29T00:17:29.136Z	Osmorhiza berteroi 2_1_1	2_1_1_2	2	5	15	flowering	null	NA	26.67	16.51	55.88	33.02	
																													Vaccinium sp.	4	4						2018-06-29T00:21:26.020Z	Osmorhiza berteroi 2_1_1	2_1_1_3	3	5	14	flowering	null	NA	17.78	15.24	60.96	38.1	
																													Boxwood	2	4						2018-06-29T00:24:04.096Z	Osmorhiza berteroi 2_1_1	2_1_1_4	4	2	22	flowering	null	NA	12.7	10.16	43.18	25.4	
																													Abies sp	1	4						2018-06-29T00:27:31.550Z	Osmorhiza berteroi 2_1_1	2_1_1_5	5	7	25	flowering	null	NA	22.86	15.24	50.8	33.02	
																													Unknown graminoid carex	3	3						2018-06-29T00:31:30.017Z	Osmorhiza berteroi 2_1_1	2_1_1_6	6	8.5	25	flowering	null	NA	20.32	12.7	48.26	33.02	
																													null	null	0						2018-06-29T00:35:50.021Z	Osmorhiza berteroi 2_1_1	2_1_1_7	7	10	24	flowering	null	NA	15.24	10.16	25.4	17.78	
														50	22	4	0	5	1	0	4	6	5	11	4	8	49	48.3	Vaccinium	5	0						2018-06-29T00:36:38.037Z	Osmorhiza berteroi 2_1_1	2_1_1_8	8	10	25	flowering	null	NA	20.32	12.7	43.18	30.48	
																													Pinus contorta	6	4						2018-06-29T00:42:46.543Z	Osmorhiza berteroi 2_1_1	2_1_1_9	9	10	25	flowering	null	NA	20.32	10.16	50.8	40.64	
																													Epilobium angustifolium	1	3						2018-06-29T00:43:26.716Z	Osmorhiza berteroi 2_1_1	2_1_1_10	10	9	26	flowering	null	NA	15.24	25.4	73.66	40.64	
																													Carex	2	1						2018-06-29T00:44:23.156Z	Pinus contorta 2_1_2	2_1_2_1	1	9	8	vegetative	null	NA	53	30	130	90	
																													Unknown forb arnica cf	1	2						2018-06-29T14:16:05.026Z	Pinus contorta 2_1_2	2_1_2_2	2	1	50	vegetative	null	46	230	210	800	250	
																													Boxwood	2	4						2018-06-29T14:29:58.487Z	Pinus contorta 2_1_2	2_1_2_3	3	15	50	fruiting	null	4	115	90	200	150	
														11	50	4	1	5	1	0	5	5	4	14	5	10	46.8	48.1	A ies sp	2	0						2018-06-29T14:40:36.823Z	Pinus contorta 2_1_2	2_1_2_4	4	28	45	fruiting	null	35	330	310	450	215	
																													Symphoricarpus	2	2						2018-06-29T14:48:38.459Z	Pinus contorta 2_1_2	2_1_2_5	5	16	27	fruiting	null	42	170	150	1500	200	
																													Csrex	5	4						2018-06-29T14:53:21.088Z	Pinus contorta 2_1_2	2_1_2_6	6	21	0	fruiting	null	9	80	78	218	110	
																													Vaccinium	4	4						2018-06-29T15:09:12.663Z	Pinus contorta 2_1_2	2_1_2_7	7	2	26	fruiting	null	45	210	200	900	220	
																													Arnica coedifolia	2	0						2018-06-29T15:16:18.780Z	Pinus contorta 2_1_2	2_1_2_8	8	1	19	fruiting	null	66	410	390	2150	240	
